"Location","Name"
"8011e1dc","__smakebuf"
"8011e288","__swhatbuf"
"8011e33c","lflush"
"8011e3b0","__srefill"
"8011e580","__sread"
"8011e59c","__swrite"
"8011e5b8","__sseek"
"8011e5dc","__sclose"
"8011e5f8","_sread"
"8011e6d0","_swrite"
"8011e81c","_sseek"
"80121d38","_flockfile"
"80121d68","_funlockfile"
"80121d94","__sflags"
"80121e4c","__sfvwrite"
"80122678","pdd_pok_lsr"
"80122858","pdd_palert_lsr"
"80122a1c","pdd_init"
"80124c74","ge_lock"
"80124cc8","ge_unlock"
"80124ef0","ge_cmd_list_new"
"80124f30","ge_cmd_list_end"
"80124f70","ge_cmd_begin"
"80124fb0","ge_cmd_end"
"80124ff0","ge_cmd_begin"
"80125030","ge_set_xy"
"80125074","ge_set_wh"
"801250f8","ge_set_rgb_order"
"80125138","ge_set_scan_order"
"8012517c","ge_set_matrix"
"801251bc","ge_set_onoff_matrix"
"801251fc","ge_set_transform_center"
"8012523c","ge_gma_show_onoff"
"801253f0","ge_gma_get_region_info"
"80125438","ge_gma_set_region_to_cmd_list"
"8012ce04","ge_m36f_attach"
"80132d0c","gma_m36f_attach"
"8014f1d8","eventflag_initialize"
"8014f7b8","os_create_hsrtask"
"8014f8a0","os_disable_interrupt"
"8014f8c8","os_enable_interrupt"
"8014faf0","os_register_isr"
"8014fd70","irq_initialize"
"8014fe14","tds_main_empty_8014fe14"
"801570d4","vp_sub_sdhd_resethw"
"80157138","vp_sub_sdhd_resethw"
"801602b8","messagebuffer_initialize"
"80160510","os_create_msg_buffer"
"801608c0","os_get_msg_time_out"
"80160d68","mutex_initialize"
"80160e2c","os_create_mutex"
"80160ef8","os_delete_mutex"
"80160fd0","os_lock_mutex"
"801610d4","os_unlock_mutex"
"80161160","queue_initialize"
"801611d4","queue_delete"
"80161258","south_rtc_init"
"801623b0","set_internal_pri"
"801623d0","clr_internal_pri"
"80162428","sched_init"
"8016266c","rdy_del"
"80162748","os_enable_dispatch"
"801627c4","os_disable_dispatch"
"80167870","semaphore_initialize"
"80168e28","snd_lld_pcm_80168e28"
"80179634","dly_tsk"
"80179690","del_tsk"
"80179764","i_start_thread"
"80179808","os_delete_thread"
"80179824","os_create_thread"
"801798d8","os_get_current_thread_id"
"8017991c","task_initialize"
"80179a5c","i_cre_tsk"
"80179b2c","make_ready"
"80179ba0","make_wait"
"80179c18","wait_release"
"80179cc4","look_thdid"
"80179d1c","task_end"
"80179d3c","idle_task"
"80179d90","read_config"
"80179e90","_INIT"
"80179fa4","tds_main"
"80179fc8","create_main_task"
"8017a01c","board_ddr_priority_init"
"8017a074","os_get_time"
"8017a07c","os_get_tick_count"
"8017a084","os_delay"
"8017a624","init_timer"
"8017a984","timer_delete"
"801abdc4","get_core_ver"
"801bc630","i_pget_blk"
"801bc664","i_rel_blk"
"801d0780","run_task"
"801d0788","app_main"
"801d0990","fseek"
"801d09b8","ftell"
"801d09d4","fread"
"801d0a0c","pthread_mutex_lock"
"801d0a30","pthread_mutex_unlock"
"801d0a54","_pthread_once"
"801d604c","font_load_801d604c"
"801d64a4","run_snd_task_mix"
"801d6720","run_menu_delay"
"801d6784","run_snd_play"
"801d67dc","run_menu_get_input"
"801d6838","_strupr"
"801d6a38","font_out_801d6a38"
"801d7030","run_blit_argb8888"
"801d70f0","run_snd_task"
"801d71ac","run_snd_init"
"801d7234","run_f22"
"801d7308","run_blit_from_file"
"801d7418","run_blit_801d7418"
"801d7568","run_menu_read_favs_or_history"
"801d7660","run_menu_write_favs_or_history"
"801d79f4","run_blit_801d79f4"
"801d7a5c","run_menu_readdir_user"
"801d7e00","run_menu"
"801dd104","run_emulator_menu"
"801dddb4","spi_print"
"801dde70","snor_wait_busy"
"801ddf8c","snor_write_en"
"801de058","pd_detect_lsr"
"801de080","spi_read_unique_id"
"801de278","sflash_read_security_data"
"801de39c","sflash_erase_security_data"
"801de420","sflash_write_security_data"
"801de558","spi_driver_init"
"801de750","UpdateROM"
"801deb74","run_osd_reopen"
"801debf4","run_osd_tvout_adjust"
"801dec68","run_osd_create_region"
"801def4c","run_osd_region_write"
"801defc8","run_screen_write"
"801df32c","sound_init"
"801df534","sound_batch"
"801df664","run_gpio_set"
"801df744","run_gpio_get"
"801df7e8","joy_spi_out"
"801df988","joy_spi_in"
"801dfa8c","joy_spi_in_single"
"801dfbbc","joy_spi_in_multi"
"801dfd50","joy_spi_out_multi"
"801dfe88","joy_spi_out_pair"
"801dff78","joy_tx_801dff78"
"801dffcc","joy_task"
"801e0390","joy_init"
"801e070c","joy_state_capture"
"801e0720","rom_buf_init"
"801e079c","run_log"
"801e07c4","fps_print_801e07c4"
"801e08e0","run_retro_video_refresh"
"801e0968","run_retro_audio_batch"
"801e0988","key_map_801e0988"
"801e0b1c","run_retro_input_poll"
"801e0b24","run_retro_input_state_set_801e0b24"
"801e0c0c","run_retro_input_state_get"
"801e0c50","run_retro_environment_get"
"801e0f18","run_emulator"
"801e131c","state_save_nes"
"801e1438","state_load_nes"
"801e1568","run_nes"
"801e16d0","run_nfc"
"801e1814","state_save_gb"
"801e1930","state_load_gb"
"801e1a60","run_gb"
"801e1bb0","state_save_pce"
"801e1ccc","state_load_pce"
"801e1dfc","run_pce"
"801e1fbc","run_get_filetype"
"801e2064","run_game"
"801e4e28","luftell"
"801e4e8c","lufseek"
"801e4f58","lufread"
"801e527c","unzlocal_SearchCentralDir"
"801e70f8","unwqw_init"
"801e71b0","unwqw_locate_idx"
"801e721c","unwqw_decompress"
"801e7290","unwqw_free"
"801e7310","state_zip"
"801ec904","state_unzip"
"801ed1ec","inflateInit_"
"801ed2f8","inflate"
"801ef36c","inflateEnd"
"801f0d3c","state_save_nfc"
"80222124","retro_get_system_av_info_nes"
"80222304","retro_init_nes"
"8022237c","frameskip_nes"
"802223b4","retro_get_region_nes"
"80223d40","FCEUI_CloseGame"
"80231de0","Dummyfunc"
"80231de8","SetSoundVariables"
"80232410","retro_deinit_nes"
"802360d8","retro_load_game_nes"
"80239ca0","retro_run_nes"
"802626e0","internal_refresh"
"80263950","OPLL_writeReg"
"80264ff0","OPLL_new"
"80279cf8","StateAction"
"8027ac28","retro_run_pce"
"8027b2f0","retro_get_system_av_info_pce"
"8027b358","retro_get_region_pce"
"8027b3bc","retro_serialize_size_pce"
"8027b430","retro_serialize_pce"
"8027b478","retro_unserialize_pce"
"8027b4b4","frameskip_pce"
"8027b4bc","retro_init_pce"
"8027c18c","retro_deinit_pce"
"8027d704","retro_load_game_pce"
"8027e3ec","ctor_8027e3ec"
"8027e3f8","dtor_8027e3f8"
"802867e8","ctor_802867e8"
"802867f4","dtor_802867f4"
"802885c8","ctor_802885c8"
"802885d4","dtor_802885d4"
"8028e628","ctor_8028e628"
"8028e634","dtor_8028e634"
"8028fb34","ctor_8028fb34"
"8028fb40","dtor_8028fb40"
"80290734","smem_write"
"80290814","smem_seek"
"80290890","smem_write32le"
"80290bd8","MDFNSS_SaveSM"
"80290d78","MDFNSS_StateAction"
"80291294","MDFNMP_ApplyPeriodicCheats"
"80291bac","ctor_80291bac"
"80291bb8","dtor_80291bb8"
"80291c58","Blip_Buffer_clock_rate_factor"
"8029c45c","fsync"
"8029c478","fopendir"
"8029c4d8","freaddir"
"8029cd68","ctor_8029cd68"
